--------- beginning of main
05-06 17:52:24.052  4104  4104 D AndroidRuntime: Calling main entry com.android.commands.uiautomator.Launcher
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.server.backup is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.internal.pm.pkg.component.flags is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: android.view.accessibility is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.google.wear.sdk is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: android.media.audio is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.server.am is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.media.playback.flags is mapped to system
05-06 17:52:24.067  4104  4104 I AconfigPackage: com.android.art.flags is mapped to com.android.art
05-06 17:52:24.067  4104  4104 I AconfigPackage: com.android.libcore is mapped to com.android.art
05-06 17:52:24.068  4104  4104 I AconfigPackage: com.android.media.extractor.flags is mapped to com.android.media
05-06 17:52:24.068  4104  4104 I AconfigPackage: com.android.media.mainline.flags is mapped to com.android.media
05-06 17:52:24.069  4104  4104 I AconfigPackage: com.android.wifi.flags is mapped to com.android.wifi
05-06 17:52:24.073  4104  4104 I AconfigPackage: com.android.org.conscrypt.flags is mapped to com.android.conscrypt
05-06 17:52:24.074  4104  4104 I AconfigPackage: com.android.healthfitness.flags is mapped to com.android.healthfitness
05-06 17:52:24.075  4104  4104 I AconfigPackage: com.google.android.input.twoshay.flags is mapped to vendor
05-06 17:52:24.075  4104  4104 I AconfigPackage: libgooglecamerahal.flags is mapped to vendor
05-06 17:52:24.076  4104  4104 I AconfigPackage: com.android.ipsec.flags is mapped to com.android.ipsec
05-06 17:52:24.078  4104  4104 I AconfigPackage: com.android.nfc.module.flags is mapped to com.android.nfcservices
05-06 17:52:24.079  4104  4104 I AconfigPackage: com.android.adservices.ondevicepersonalization.flags is mapped to com.android.ondevicepersonalization
05-06 17:52:24.079  4104  4104 I AconfigPackage: com.android.bluetooth.flags is mapped to com.android.bt
05-06 17:52:24.080  4104  4104 I AconfigPackage: com.android.devicelock.flags is mapped to com.android.devicelock
05-06 17:52:24.080  4104  4104 I AconfigPackage: android.os.profiling is mapped to com.android.profiling
05-06 17:52:24.081  4104  4104 I AconfigPackage: com.android.os.statsd.flags is mapped to com.android.os.statsd
05-06 17:52:24.081  4104  4104 I AconfigPackage: com.android.cellbroadcastreceiver.flags is mapped to com.android.cellbroadcast
05-06 17:52:24.082  4104  4104 I AconfigPackage: com.android.adservices.flags is mapped to com.android.adservices
05-06 17:52:24.082  4104  4104 I AconfigPackage: com.android.sdksandbox.flags is mapped to com.android.adservices
05-06 17:52:24.083  4104  4104 I AconfigPackage: com.android.uwb.flags is mapped to com.android.uwb
05-06 17:52:24.083  4104  4104 I AconfigPackage: com.android.ranging.flags is mapped to com.android.uwb
05-06 17:52:24.083  4104  4104 I AconfigPackage: android.graphics.pdf.flags is mapped to com.android.mediaprovider
05-06 17:52:24.083  4104  4104 I AconfigPackage: com.android.providers.media.flags is mapped to com.android.mediaprovider
05-06 17:52:24.083  4104  4104 I AconfigPackage: android.graphics.pdf.flags.readonly is mapped to com.android.mediaprovider
05-06 17:52:24.084  4104  4104 I AconfigPackage: com.android.net.ct.flags is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: com.android.net.flags is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: android.net.vcn is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: com.android.nearby.flags is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: android.net.http is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: com.android.net.thread.flags is mapped to com.android.tethering
05-06 17:52:24.084  4104  4104 I AconfigPackage: com.android.system.virtualmachine.flags is mapped to com.android.virt
05-06 17:52:24.085  4104  4104 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.xr cannot be found on the device
05-06 17:52:24.091  4104  4104 D UiAutomationConnection: Created on user UserHandle{0}
05-06 17:52:24.091  4104  4104 I UiAutomation: Initialized for user 0 on display 0
05-06 17:52:24.091  4104  4104 W UiAutomation: Created with deprecatead constructor, assumes DEFAULT_DISPLAY
--------- beginning of system
05-06 17:52:24.093   671   699 D AccessibilityManagerService: changeCurrentUserForTestAutomationIfNeededLocked(0): ignoring because device doesn't support visible background users
05-06 17:52:24.094   671   699 I UiAutomationManager: Registering UiTestAutomationService (id=com.android.server.accessibility/UiAutomation, flags=0x0) when called by user 0
05-06 17:52:24.097   671   699 V AccessibilityManagerService: onUserStateChangedLocked for userId: 0, forceUpdate: false
05-06 17:52:24.106   671   699 W MagnificationConnectionManager: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
05-06 17:52:24.107  1590  1997 I AiAiEcho: Settings changed for uri: content://settings/secure/accessibility_enabled
05-06 17:52:24.110  4104  4117 V UiAutomation: Init UiAutomation@8080107[id=1, displayId=0, flags=0]
05-06 17:52:24.112   671   671 D BatterySaverPolicy: accessibility changed to true, updating policy.
05-06 17:52:24.114   671   701 V AccessibilityManagerService: onUserStateChangedLocked for userId: 0, forceUpdate: false
05-06 17:52:24.115   671   701 W MagnificationConnectionManager: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
05-06 17:52:24.116  1590  1997 I AiAiEcho: Settings changed for uri: content://settings/secure/accessibility_enabled
05-06 17:52:24.118  1689  1908 I amtp    : NGA disabled due to not being eligible.
05-06 17:52:24.133  1590  1837 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
05-06 17:52:24.133  1590  1837 I AiAiEcho: EchoTargets: 
05-06 17:52:24.133  1590  1837 I AiAiEcho: Filtered by AiAi flag check: 
05-06 17:52:24.133  1590  1837 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
05-06 17:52:24.135  1590  1837 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
05-06 17:52:24.136  1590  1837 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: EchoTargets: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: Filtered by AiAi flag check: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
05-06 17:52:24.136  1590  1837 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: EchoTargets: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: Filtered by AiAi flag check: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
05-06 17:52:24.136  1590  1837 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: EchoTargets: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: Filtered by AiAi flag check: 
05-06 17:52:24.136  1590  1837 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
05-06 17:52:24.136  1590  1837 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
05-06 17:52:24.145  1590  1837 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0 (types=[])
05-06 17:52:24.146  1590  1837 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0 (types=[])
05-06 17:52:24.147  1590  1837 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0 (types=[])
05-06 17:52:24.147  1590  1837 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0 (types=[])
05-06 17:52:24.149  1319  1338 D AccessibilitySourceService: enabled a11y services count 0
05-06 17:52:24.150  1319  1338 D AccessibilitySourceService: a11y source sending 0 issue to sc
05-06 17:52:24.151   671  1940 D SafetySourceDataValidat: No cert check requested for package com.google.android.permissioncontroller
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: No text view can be set up
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 I SsBaseTemplateCard: Secondary card pane is null
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: No text view can be set up
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 D SsBaseTemplateCard: Passed-in item info is null
05-06 17:52:24.151  1066  1066 I SsBaseTemplateCard: Secondary card pane is null
05-06 17:52:24.156   941   941 W PageIndicator: Total number of pages invalid: 0. Assuming 1 page.
05-06 17:52:24.156   941   941 W PageIndicator: Total number of pages invalid: 0. Assuming 1 page.
05-06 17:52:24.214   671   843 D WifiClientModeImpl[8610:wlan0]: updateLinkLayerStatsRssiSpeedFrequencyCapabilities rssi=-50 TxLinkspeed=2 freq=2447 RxLinkSpeed=2
05-06 17:52:24.214   671   843 D WifiDataStall: tx tput in kbps: 11000
05-06 17:52:24.214   671   843 D WifiDataStall: rx tput in kbps: 11000
05-06 17:52:24.214   671   843 V WifiConfigManager: Updating scan detail cache freq=2447 BSSID=00:13:10:85:fe:01 RSSI=-50 for "AndroidWifi"NONE
05-06 17:52:24.214   671   843 D WifiThroughputPredictor:  utilization (LLS) 80 isBluetoothConnected: false final utilization: 80
05-06 17:52:24.214   671   843 D WifiThroughputPredictor:  BW: 0 RSSI: -50 Nss: 1 Mode: 1 symDur: 4000 snrDb 30 bitPerTone: 4500 rate: 54 throughput: 11
05-06 17:52:24.214   671   843 D WifiThroughputPredictor:  utilization (LLS) 80 isBluetoothConnected: false final utilization: 80
05-06 17:52:24.214   671   843 D WifiThroughputPredictor:  BW: 0 RSSI: -50 Nss: 1 Mode: 1 symDur: 4000 snrDb 30 bitPerTone: 4500 rate: 54 throughput: 11
05-06 17:52:24.215   671   843 D WifiThroughputPredictor:  utilization (LLS) 80 isBluetoothConnected: false final utilization: 80
